business_id,business_name,business_address,business_city,business_state,business_postal_code,business_latitude,business_longitude,business_location,business_phone_number,inspection_id,inspection_date,inspection_score,inspection_type,violation_id,violation_description,risk_category
58673,New Luen Sing Fish Market,1207 Stockton St,San Francisco,CA,94133,37.8,-122.41,"{'longitude': '-122.408504', 'needs_recoding': False, 'latitude': '37.796973', 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",,58673_20171206,06-12-2017,84,Routine - Unscheduled,58673_20171206_103144,Unapproved or unmaintained equipment or utensils,Low Risk
95117,95117 Premium Commissary Room,24 Willie Mays Pl Field Level,San Francisco,CA,94107,,,,,95117_20180326,26-03-2018,96,Routine - Unscheduled,95117_20180326_103120,Moderate risk food holding temperature,Moderate Risk
78934,Koja Kitchen CA01,343 Clement St,San Francisco,CA,94118,,,,,78934_20160706,06-07-2016,,Reinspection/Followup,,,
67448,Soo Fong Restaurant,3801 03rd St 370,San Francisco,CA,94124,37.74,-122.39,"{'longitude': '-122.388098', 'needs_recoding': False, 'latitude': '37.741829', 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",,67448_20170620,20-06-2017,75,Routine - Unscheduled,67448_20170620_103102,Unclean hands or improper use of gloves,High Risk
69694,Split Bread,145 04th St,San Francisco,CA,94103,37.78,-122.4,"{'longitude': '-122.403513', 'needs_recoding': False, 'latitude': '37.783984', 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",,69694_20180323,23-03-2018,,Reinspection/Followup,,,
86766,Coffee Cultures SOMA,1301 Mission St.,San Francisco,CA,94103,,,,,86766_20180212,12-02-2018,90,Routine - Unscheduled,86766_20180212_103157,Food safety certificate or food handler card not available,Low Risk
71287,Glaze Teriyaki,1946 FILLMORE St,San Francisco,CA,94115,37.79,-122.43,"{'longitude': '-122.433557', 'needs_recoding': False, 'latitude': '37.787778', 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",14155779878,71287_20180110,10-01-2018,86,Routine - Unscheduled,71287_20180110_103150,Improper or defective plumbing,Low Risk
32556,Seal Rock Inn Restaurant,545 Point Lobos Ave,San Francisco,CA,94121,37.78,-122.51,"{'longitude': '-122.509128', 'needs_recoding': False, 'latitude': '37.779853', 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",,32556_20180620,20-06-2018,77,Routine - Unscheduled,32556_20180620_103133,Foods not protected from contamination,Moderate Risk
91934,"Keep It, Inc.",1170 Powell St,San Francisco,CA,94108,,,,,91934_20171026,26-10-2017,,New Construction,,,
85908,Yummy Sticks,428 11th St,San Francisco,CA,94103,,,,,85908_20160618,18-06-2016,81,Routine - Unscheduled,85908_20160618_103120,Moderate risk food holding temperature,Moderate Risk
2721,Red Jade Restaurant,245 Church St.,San Francisco,CA,94114,37.77,-122.43,"{'longitude': '-122.428846', 'needs_recoding': False, 'latitude': '37.766814', 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",,2721_20170816,16-08-2017,80,Routine - Unscheduled,2721_20170816_103103,High risk food holding temperature,High Risk
1994,EL POLLO SUPREMO,5210 MISSION St,San Francisco,CA,94112,37.72,-122.44,"{'longitude': '-122.441846', 'needs_recoding': False, 'latitude': '37.715469', 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",14155335750,1994_20180712,12-07-2018,,Complaint,,,
91989,Kuma Sushi + Sake,1040 Polk St,San Francisco,CA,94109,,,,,91989_20170803,03-08-2017,,Non-inspection site visit,,,
1867,Escape From New York Pizza,333 Bush St #103,San Francisco,CA,94104,37.79,-122.4,"{'longitude': '-122.403168', 'needs_recoding': False, 'latitude': '37.790844', 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",,1867_20160412,12-04-2016,94,Routine - Unscheduled,1867_20160412_103162,Other low risk violation,Low Risk
38231,Wines of California Wine Bar,Pier 39 Space N-111,San Francisco,CA,94133,37.81,-122.41,"{'longitude': '-122.410189', 'needs_recoding': False, 'latitude': '37.80824', 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",,38231_20180328,28-03-2018,92,Routine - Unscheduled,38231_20180328_103150,Improper or defective plumbing,Low Risk
69909,T & L Liquor Store Inc.,3168 MISSION St,San Francisco,CA,94110,37.75,-122.42,"{'longitude': '-122.4194', 'needs_recoding': False, 'latitude': '37.746459', 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",,69909_20180309,09-03-2018,94,Routine - Unscheduled,69909_20180309_103142,Unclean nonfood contact surfaces,Low Risk
57755,Events Management @ Legion of Honor,100 34th Ave,,,,,,,,,,,,,,
